process_metric,quality_metric,spearman
stars,cbo,0.017660132986078787
stars,dit,-0.026379283306364205
stars,lcom,0.043057590880318825
releases,cbo,0.39215337391351335
releases,dit,0.23631424529524067
releases,lcom,0.32073274561489445
idade_anos,cbo,0.004633313969017878
idade_anos,dit,0.2779860765983426
idade_anos,lcom,0.19332654577240702
loc,cbo,0.4280320530347758
loc,dit,0.38504597703056864
loc,lcom,0.7367632908588545
locComment,cbo,
locComment,dit,
locComment,lcom,
